audioLen_1,audioLen_2,audioLen_3,audioLen_4,audioLen_5,audioLen_6,audioLen_7,audioLen_8
0.522458333333333,0.7314375,0.7053125,0.6530625,0.8359375,0.7836875,0.6530625,0.8359375
0.8359375,0.7053125,0.8359375,0.6530625,0.7314375,0.7836875,0.522458333333333,0.574708333333333
0.6530625,0.6530625,0.7836875,0.8359375,0.7314375,0.7053125,0.8359375,0.574708333333333
0.8359375,0.6530625,0.7314375,0.8359375,0.7053125,0.7836875,0.6530625,0.574708333333333
0.7053125,0.6530625,0.7314375,0.7836875,0.574708333333333,0.8359375,0.8359375,0.6530625
0.7053125,0.7836875,0.6530625,0.6530625,0.8359375,0.7314375,0.8359375,0.522458333333333
0.522458333333333,0.7314375,0.574708333333333,0.8359375,0.6530625,0.7053125,0.6530625,0.8359375
0.8359375,0.6530625,0.7836875,0.6530625,0.574708333333333,0.7053125,0.8359375,0.7053125
0.8359375,0.7314375,0.574708333333333,0.522458333333333,0.626958333333333,0.8359375,0.600833333333333,0.522458333333333
0.8359375,0.522458333333333,0.600833333333333,0.522458333333333,0.626958333333333,0.600833333333333,0.574708333333333,0.7314375
0.600833333333333,0.522458333333333,0.8359375,0.626958333333333,0.600833333333333,0.574708333333333,0.8359375,0.522458333333333
0.626958333333333,0.8359375,0.600833333333333,0.574708333333333,0.522458333333333,0.600833333333333,0.8359375,0.7314375
0.600833333333333,0.7314375,0.600833333333333,0.522458333333333,0.522458333333333,0.574708333333333,0.8359375,0.8359375
0.522458333333333,0.600833333333333,0.7314375,0.626958333333333,0.8359375,0.522458333333333,0.600833333333333,0.574708333333333
0.7314375,0.8359375,0.600833333333333,0.574708333333333,0.522458333333333,0.522458333333333,0.626958333333333,0.8359375
0.522458333333333,0.8359375,0.600833333333333,0.574708333333333,0.600833333333333,0.522458333333333,0.7314375,0.8359375
