isLeftKeyPress,keyPressTime
1,4.6141024
1,3.101639
0,7.1678994
0,6.0949553
1,5.9078812
1,2.3863711
1,10.4654859
1,1.7256058
1,2.0823543
0,1.7277858
0,7.0109046
0,4.1195583
1,2.1333681
1,4.4202202
0,2.2880938
0,2.1334802
0,3.9634678
1,5.5883616
0,3.35236
1,2.3367511
1,2.0323587
0,1.5752825
0,1.5751455
0,2.8944208
1,3.4564219
0,1.7267027
1,7.2650334
1,1.7258829
1,7.1625772
0,3.6068201
0,3.9202211
0,6.2992443
1,6.9605567
0,4.7789588
0,1.9313854
0,2.4916378
0,1.7323634
0,5.4353343
1,4.6731764
1,1.3725144
1,2.0841914
0,1.7280244
0,2.6929063
0,1.6771097
1,1.7281122
0,1.9816684
0,2.0827958
1,1.6259333
0,3.4031033
1,3.3033217
0,1.9309698
1,1.5238891
0,1.981824
1,2.4392798
1,10.0054551
0,10.2112897
0,6.1976038
0,4.0128177
1,6.0450019
0,1.4728992
1,4.6222855
1,5.3862372
1,2.9987371
0,3.6075462
1,3.0990744
1,3.5054728
0,2.9993112
0,2.3891187
1,1.675559
0,1.9289881
0,3.3574653
0,2.0326411
0,4.3684217
0,3.4033707
1,7.3690483
0,9.3510435
1,1.9305882
1,4.013129
1,2.7425118
0,6.7047134
0,5.3852152
0,1.9289223
0,1.6767335
1,7.5185714
0,2.5914175
0,6.7045789
1,4.4190422
0,2.2344256
0,1.8286938
1,2.9963803
0,4.0138859
1,2.692567
0,2.7435208
0,11.0239789
0,3.8113736
0,5.1819385
1,2.4895251
0,7.0612568
1,4.2165555
0,1.6247641
1,2.2877561
1,5.6425787
0,2.494973
1,3.6044661
1,1.8293537
0,3.200814
0,1.7809454
1,4.7272705
1,1.9813893
0,3.7083916
1,4.0135221
0,2.8953912
1,1.6262941
0,2.3378183
1,2.133978
1,4.4761576
0,1.8793731
1,1.8807056
0,3.048752
1,4.5722817
1,2.4380135
0,2.9488175
0,3.9129281
1,1.7789511
1,3.0979042
1,1.9307816
1,2.8468202
1,2.9975835
1,1.6767816
1,3.5556754
1,2.9973325
0,1.9304683
1,4.7752325
1,2.6431598
0,3.862282
0,2.4889428
