,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets,Sequence9 Audio Onsets,Sequence10 Audio Onsets,Sequence11 Audio Onset,Sequence12 Audio Onsets,Sequence13 Audio Onsets,Sequence14 Audio Onsets,Sequence15 Audio Onset,Sequence16 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,2.2575625,1.674708333333333,2.188166666666667,2.074708333333333,1.065729166666667,1.465729166666667,2.8224583333333335,1.874708333333333,1.4053125,2.074708333333333,2.1791875,1.588166666666667,2.048583333333333,1.248583333333333,3.0575625,1.248583333333333
Audio3 Onset,3.389,2.797166666666666,3.519604166666667,3.2404375,3.4232916666666666,2.2404375,4.127770833333333,3.049416666666666,2.353895833333333,3.823291666666666,3.5277708333333333,3.73675,3.927770833333333,3.7277708333333335,4.4061458333333325,2.797166666666666
Audio4 Onset,4.763708333333334,4.954729166666666,5.485333333333333,4.571875,5.215145833333334,4.7024791666666665,5.7898125,5.606979166666667,4.702479166666666,5.502479166666666,5.250229166666666,5.459208333333334,5.876354166666666,5.519625,6.485333333333333,4.8853333333333335
Audio5 Onset,6.886166666666667,5.833916666666667,7.660041666666666,6.363729166666666,7.589854166666667,5.860041666666667,7.738395833333334,7.5816875,6.251062499999999,6.407791666666666,7.807791666666667,6.564520833333333,7.355541666666666,8.0249375,7.2339166666666666,5.990645833333334
Audio6 Onset,8.060875,7.756375,9.23475,7.9123125,8.3123125,7.339229166666667,8.460854166666667,9.113125,6.842916666666666,8.599645833333334,9.5825,8.113104166666666,8.260854166666666,9.573520833333333,8.956375,7.539229166666667
Audio7 Onset,10.522916666666667,9.531083333333333,9.983333333333333,10.087020833333334,10.817625,9.1139375,10.4355625,9.887833333333333,7.722104166666665,9.878833333333333,10.574354166666666,8.992291666666667,9.8094375,10.931083333333333,10.331083333333334,9.418416666666667
Audio8 Onset,12.445375,11.662520833333334,11.862520833333333,11.244583333333333,12.340083333333334,11.802104166666666,11.601291666666667,11.967020833333333,8.801291666666666,11.027416666666667,11.5229375,11.140875,10.584145833333332,12.105791666666667,12.61925,11.593125
Audio Length,13.793958333333334,13.82825,12.784979166666666,13.349895833333333,14.219270833333333,13.507416666666666,13.776,13.689479166666667,11.12375,12.776,13.02825,12.6200625,12.8723125,14.054375,13.9245625,12.9506875
