,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets,Sequence9 Audio Onsets,Sequence10 Audio Onsets,Sequence11 Audio Onset,Sequence12 Audio Onsets,Sequence13 Audio Onsets,Sequence14 Audio Onsets,Sequence15 Audio Onset,Sequence16 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,2.9008333333333334,2.396333333333333,2.0314375,2.526958333333333,2.726958333333333,2.1791875,2.3791875,1.370208333333333,2.2053125,2.526958333333333,2.6314375,1.4575625,1.117979166666667,2.0053125,2.8575625,1.8314375
Audio3 Onset,4.806145833333333,3.5016458333333333,3.93675,4.6583958333333335,5.0322708333333335,4.710625,4.6845,2.544916666666666,4.762875,3.6583958333333335,5.162875,3.389,2.249416666666667,4.53675,4.684520833333333,3.258395833333333
Audio4 Onset,6.711458333333334,4.371854166666667,5.0159375,6.728604166666667,6.7024791666666665,6.606958333333333,7.1898125,3.450229166666666,7.2943125,5.728604166666667,6.233083333333333,4.415958333333332,3.676375,5.363708333333332,6.989833333333333,5.615958333333333
Audio5 Onset,8.938416666666667,6.1988125,6.12125,9.033916666666666,7.720458333333333,9.138395833333334,9.72125,5.529416666666667,8.512291666666666,6.660041666666666,7.338395833333333,6.747395833333333,5.1816875,6.9816875,8.112291666666666,7.2861666666666665
Audio6 Onset,9.556395833333333,7.504125,6.791458333333333,10.339229166666666,9.825770833333333,10.443708333333333,10.991458333333334,7.634729166666666,9.9825,7.9825,8.669833333333333,7.852708333333333,6.53925,9.313125,9.443729166666667,9.817604166666667
Audio7 Onset,11.835583333333334,8.8355625,7.8094375,11.670666666666667,11.104958333333334,12.018416666666667,11.818416666666666,9.2616875,11.5139375,10.1139375,9.992291666666667,9.375166666666667,9.0706875,10.6445625,10.775166666666667,10.949041666666666
Audio8 Onset,13.210291666666667,10.367,9.810270833333334,13.245375,12.836395833333333,12.636395833333333,13.523729166666667,10.688645833333334,13.236395833333333,12.41925,11.21925,11.906604166666666,11.202125,13.202125,12.445375,13.254354166666667
Audio Length,14.115604166666667,11.741708333333333,11.037229166666666,14.446208333333333,14.211104166666667,14.637229166666666,14.5245625,12.784979166666666,15.463354166666667,13.9768125,13.7768125,13.1768125,13.524583333333334,15.124583333333334,14.463354166666667,15.1768125
