,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets,Sequence9 Audio Onsets,Sequence10 Audio Onsets,Sequence11 Audio Onset,Sequence12 Audio Onsets,Sequence13 Audio Onsets,Sequence14 Audio Onsets,Sequence15 Audio Onset,Sequence16 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,2.9008333333333334,2.100833333333333,2.9269583333333333,2.074708333333333,2.726958333333333,2.074708333333333,2.1530625,1.700833333333333,2.796333333333333,2.700833333333333,1.248583333333333,2.700833333333333,2.448583333333333,1.196333333333333,1.996333333333333,2.8224583333333335
Audio3 Onset,4.875541666666667,4.553895833333334,3.7800208333333334,4.301666666666666,5.101666666666666,3.101666666666666,4.153895833333333,3.1538958333333333,4.944916666666666,4.249416666666666,2.649416666666666,4.101666666666666,4.144916666666666,3.197166666666666,3.544916666666666,3.8232916666666665
Audio4 Onset,6.728604166666667,5.250229166666666,5.180854166666666,6.554729166666666,6.154729166666667,4.154729166666666,5.554729166666666,5.354729166666667,6.893499999999999,5.571874999999999,3.5718749999999986,4.824124999999999,5.893499999999999,4.3196249999999985,5.9457499999999985,5.824125
Audio5 Onset,9.1294375,6.2249375,6.3816875,8.6510625,6.9555625,6.355562499999999,6.9294375,6.7555625,8.894333333333332,6.720458333333332,4.868208333333332,5.772708333333331,7.9898333333333325,6.268208333333331,7.2420833333333325,7.520458333333333
Audio6 Onset,11.330270833333334,7.825770833333333,8.678020833333333,9.704125,8.556395833333333,8.208625,8.556395833333333,7.851895833333334,11.295166666666667,8.321291666666665,7.164541666666666,6.521291666666664,9.712291666666665,8.069041666666664,8.242916666666666,8.869041666666666
Audio7 Onset,13.731104166666666,9.478833333333334,10.452729166666666,11.304958333333333,10.757229166666667,9.409458333333331,10.957229166666666,9.652729166666667,12.096,9.417625,8.565375,8.417624999999997,11.913125,9.617624999999997,9.44375,10.417625
Audio8 Onset,15.5580625,10.279666666666667,11.705791666666666,13.505791666666667,12.3580625,11.505791666666667,13.210291666666667,11.2274375,13.392333333333333,10.113958333333333,9.566208333333332,9.913958333333332,13.513958333333333,11.618458333333331,11.366208333333333,11.913958333333333
Audio Length,16.854395833333335,12.0805,12.706625,14.506625,13.811125,12.306625,13.906625,13.6805,14.114791666666667,10.914791666666666,11.314791666666666,11.914791666666664,14.514791666666667,13.114791666666664,13.514791666666667,13.714791666666667
