,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets,Sequence9 Audio Onsets,Sequence10 Audio Onsets,Sequence11 Audio Onset,Sequence12 Audio Onsets,Sequence13 Audio Onsets,Sequence14 Audio Onsets,Sequence15 Audio Onset,Sequence16 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,2.8485833333333335,2.422458333333333,2.8485833333333335,2.2836875,1.4314375,2.648583333333333,2.248583333333333,2.6314375,2.474708333333333,2.8485833333333335,2.4575625,1.274708333333333,2.9530625,1.4053125,1.4053125,1.8575625
Audio3 Onset,4.980020833333334,3.7538958333333334,5.223291666666666,4.258395833333333,2.953895833333333,4.571041666666666,3.771041666666666,4.380020833333333,4.0322708333333335,4.223291666666666,4.510625,3.623291666666666,4.458375,3.362875,3.162875,3.8322708333333333
Audio4 Onset,5.7024791666666665,5.102479166666666,7.024125,5.206979166666666,4.337583333333333,5.624104166666666,5.224104166666666,5.537583333333333,6.0069791666666665,4.998,6.459208333333334,4.980854166666666,5.8159375,4.3204375,4.911458333333333,4.980854166666666
Audio5 Onset,7.860041666666667,7.660041666666666,8.172708333333333,6.607812499999999,5.5384166666666665,7.181666666666667,6.398812499999999,7.086166666666666,7.1555625,7.1033125,8.233916666666667,6.833916666666667,6.7906458333333335,6.069020833333333,6.069020833333333,7.486166666666667
Audio6 Onset,9.808625,10.043729166666667,10.425770833333333,7.556395833333332,6.687,8.156375,8.1825,8.487,8.113125,9.460875,10.391479166666667,9.391479166666667,8.165354166666667,8.426583333333333,8.426583333333333,9.443729166666667
Audio7 Onset,11.557208333333334,11.3923125,11.774354166666667,8.704979166666666,7.635583333333333,9.1400625,10.183333333333332,9.287833333333333,9.7661875,12.0184375,11.896791666666667,10.3400625,9.722916666666666,9.601291666666667,10.801291666666666,11.401291666666667
Audio8 Onset,13.131916666666667,12.593145833333333,14.305791666666666,10.262541666666666,10.010291666666667,10.340895833333333,12.131916666666667,10.236416666666667,11.0715,12.767020833333333,13.854354166666667,11.497625,10.880479166666667,11.254354166666667,13.054354166666666,12.454354166666667
Audio Length,14.13275,14.367854166666667,15.02825,11.993979166666668,12.358875,12.289479166666666,13.8805,11.289479166666666,13.6290625,14.524583333333334,14.8290625,13.0029375,12.2290625,13.0290625,14.6290625,13.2290625
