Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,76,73,73,76,75,73,76,86,74,73,74,80,79,75,79,79
Audio2,377,315,195,256,240,197,192,220,409,387,336,220,211,327,330,380
Audio3,602,483,487,490,484,387,329,518,620,558,513,398,428,546,498,568
Audio4,710,659,647,736,772,721,580,740,728,783,628,680,581,843,690,877
Audio5,958,822,763,1011,898,888,796,1008,841,947,718,809,800,965,820,1066
Audio6,1130,948,1042,1230,1218,1172,1088,1107,1094,1107,926,1028,1086,1107,991,1261
Audio7,1317,1182,1166,1422,1308,1417,1355,1402,1386,1403,1067,1195,1332,1400,1081,1562
Audio8,1590,1480,1431,1554,1583,1689,1605,1528,1501,1651,1232,1360,1599,1646,1316,1858
AudioLength,1812,1587,1526,1782,1840,1965,1761,1827,1733,1781,1368,1470,1901,1870,1470,2037
