Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,75,82,79,73,73,73,73,75,82,79,82,79,74,76,82,76
Audio2,256,245,370,286,326,341,310,298,373,319,268,309,364,240,172,213
Audio3,441,416,597,505,464,632,572,511,700,572,384,416,509,493,389,406
Audio4,644,671,862,598,660,747,743,778,917,767,681,589,819,714,595,733
Audio5,860,912,1002,888,966,892,1001,921,1010,901,846,729,1087,931,792,995
Audio6,1165,1154,1212,1187,1081,1167,1294,1084,1106,1201,1011,995,1179,1135,1060,1196
Audio7,1255,1424,1465,1380,1252,1355,1512,1378,1325,1403,1139,1189,1386,1227,1321,1362
Audio8,1514,1619,1800,1639,1434,1680,1837,1571,1566,1519,1282,1450,1526,1434,1622,1460
AudioLength,1774,1771,1875,1745,1591,1992,2098,1799,1866,1771,1429,1659,1762,1591,1710,1713
