Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,73,78,76,74,76,78,73,73,76,73,76,73,73,76,72,73
Audio2,246,252,274,206,377,252,316,202,282,288,327,186,272,198,358,374
Audio3,545,425,505,457,672,426,438,280,381,518,644,336,466,463,615,646
Audio4,783,567,692,666,861,692,551,552,620,684,805,445,573,642,848,781
Audio5,919,699,837,793,1032,782,836,831,915,961,926,708,791,770,975,899
Audio6,1154,843,1138,1099,1195,1041,1050,936,1196,1275,1220,958,1032,878,1168,1089
Audio7,1292,1133,1242,1280,1297,1204,1221,1026,1335,1556,1420,1143,1290,1148,1487,1179
Audio8,1440,1392,1535,1452,1531,1359,1512,1241,1554,1712,1697,1255,1412,1386,1712,1375
AudioLength,1528,1572,1608,1652,1634,1531,1803,1441,1678,1799,1976,1547,1566,1591,1978,1657
