Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,71,71,73,74,75,74,71,74,73,73,74,73,73,74,74,74
Audio2,264,335,214,182,281,285,181,311,258,212,282,377,299,259,336,352
Audio3,370,562,351,494,381,628,493,541,516,343,519,578,535,553,597,451
Audio4,546,770,635,696,490,706,781,691,844,503,846,730,765,704,730,614
Audio5,673,1037,768,948,727,825,933,942,1160,728,1063,846,1018,922,1006,790
Audio6,961,1272,1009,1057,985,1069,1089,1206,1411,828,1212,1158,1108,1259,1248,887
Audio7,1142,1376,1247,1251,1251,1387,1242,1374,1564,1108,1515,1280,1324,1383,1346,1200
Audio8,1453,1668,1483,1496,1417,1669,1511,1566,1808,1352,1651,1465,1423,1482,1445,1461
AudioLength,1533,1762,1743,1796,1746,1816,1784,1793,1923,1670,1783,1769,1698,1578,1585,1696
