Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,80,80,74,74,73,74,72,75,74,78,73,74,74,74,80,74
Audio2,257,159,349,288,252,325,373,237,384,334,175,365,267,295,299,410
Audio3,583,374,556,451,434,471,635,543,569,522,277,518,528,536,483,675
Audio4,738,489,870,650,579,763,829,850,758,807,390,704,773,821,675,957
Audio5,908,790,1038,916,772,891,915,1153,988,1068,523,1039,985,1027,833,1271
Audio6,1102,1033,1236,1097,955,1128,1161,1239,1280,1337,615,1219,1243,1215,934,1377
Audio7,1344,1138,1449,1205,1220,1353,1291,1387,1536,1661,797,1363,1567,1458,1091,1562
Audio8,1471,1406,1617,1486,1327,1459,1549,1653,1727,1968,1030,1579,1668,1716,1372,1869
AudioLength,1788,1645,1915,1752,1601,1555,1732,1900,1889,2247,1242,1851,1824,1995,1534,2107
