Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,73,74,73,73,74,75,75,75,76,73,73,73,72,75,76,80
Audio2,341,408,367,372,230,366,391,393,315,370,344,271,232,244,365,291
Audio3,431,627,568,663,328,579,685,644,417,670,451,460,343,353,585,465
Audio4,653,815,783,812,445,799,799,857,513,804,708,632,589,548,834,772
Audio5,745,984,893,1055,642,948,979,1155,671,1120,990,922,718,703,1101,991
Audio6,939,1123,1201,1323,856,1219,1251,1350,986,1316,1150,1092,941,979,1262,1302
Audio7,1152,1234,1447,1537,1018,1491,1415,1491,1275,1424,1248,1244,1138,1208,1457,1543
Audio8,1244,1405,1719,1809,1184,1799,1615,1635,1535,1584,1399,1357,1299,1479,1766,1816
AudioLength,1329,1570,1954,1954,1289,2005,1903,1806,1827,1893,1500,1483,1520,1730,1858,2021
