Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,74,81,74,75,78,78,73,78,71,73,73,73,75,75,72,69
Audio2,337,196,388,379,239,297,196,352,387,234,246,232,263,195,207,296
Audio3,427,419,607,544,439,413,302,567,569,484,453,447,511,384,483,443
Audio4,544,714,691,803,631,631,543,870,820,721,764,647,794,616,716,581
Audio5,637,850,854,1064,847,731,801,1178,917,892,875,737,901,776,883,738
Audio6,905,1162,978,1294,1068,940,946,1289,1057,1051,1139,963,991,1046,1003,1061
Audio7,1173,1336,1129,1463,1360,1245,1064,1536,1264,1213,1257,1177,1210,1187,1112,1349
Audio8,1295,1452,1225,1632,1450,1432,1230,1748,1388,1536,1425,1400,1464,1311,1248,1558
AudioLength,1461,1689,1506,1708,1638,1606,1489,1824,1591,1725,1664,1566,1739,1540,1516,1775
