Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,75,74,77,74,75,74,77,73,77,73,77,76,74,74,77,73
Audio2,321,361,223,362,324,302,377,168,176,365,209,348,375,298,355,337
Audio3,526,484,487,528,589,579,487,373,338,671,407,528,505,527,543,514
Audio4,659,685,788,676,787,880,611,549,547,825,730,649,635,786,826,690
Audio5,887,937,1058,1012,1025,1096,776,710,816,1029,945,848,916,1064,973,1004
Audio6,1007,1099,1232,1102,1330,1249,980,800,936,1225,1201,1036,1146,1262,1091,1171
Audio7,1142,1374,1563,1257,1463,1461,1153,1041,1240,1361,1369,1294,1236,1352,1371,1338
Audio8,1253,1592,1698,1483,1704,1785,1329,1179,1386,1596,1475,1517,1566,1614,1474,1485
AudioLength,1574,1755,1916,1618,1823,1993,1584,1305,1654,1805,1615,1788,1769,1766,1717,1627
