Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,74,75,76,73,73,74,74,76,80,83,73,78,69,80,78,73
Audio2,381,316,270,335,358,291,314,186,296,333,349,196,152,266,385,253
Audio3,631,460,514,608,656,614,610,336,619,480,673,453,307,600,615,431
Audio4,868,569,651,877,863,855,929,451,939,745,813,574,486,692,904,731
Audio5,1149,809,795,1166,998,1180,1256,717,1101,862,948,879,677,903,1047,944
Audio6,1233,972,876,1333,1267,1347,1416,993,1287,1031,1119,1014,846,1204,1218,1266
Audio7,1525,1140,1010,1504,1433,1545,1528,1205,1483,1310,1298,1212,1173,1377,1391,1417
Audio8,1700,1337,1265,1705,1653,1629,1741,1388,1713,1604,1450,1536,1443,1699,1598,1706
AudioLength,1807,1503,1413,1850,1820,1874,1860,1647,1980,1790,1764,1687,1732,1936,1852,1943
