Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,77,74,75,74,75,74,73,74,73,74,81,75,81,73,73,81
Audio2,381,278,384,276,359,276,288,229,375,363,171,356,323,163,269,372
Audio3,633,592,494,560,662,409,542,417,646,561,356,542,544,426,464,499
Audio4,871,682,676,848,801,542,721,698,893,727,466,635,763,570,770,754
Audio5,1179,807,826,1119,900,822,898,874,1148,870,632,752,1039,813,937,980
Audio6,1463,1013,1121,1255,1105,1064,1105,1016,1456,1074,928,844,1253,1046,1065,1149
Audio7,1768,1226,1350,1457,1390,1214,1414,1249,1557,1214,1106,1087,1535,1241,1226,1343
Audio8,2001,1329,1508,1739,1593,1486,1700,1449,1731,1305,1238,1279,1740,1496,1472,1535
AudioLength,2158,1547,1627,1857,1768,1576,1781,1755,1807,1398,1449,1526,1858,1679,1730,1756
