Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,74,76,76,74,74,74,76,74,76,76,77,75,73,77,77,73
Audio2,375,320,376,304,195,351,299,349,330,376,324,175,391,193,192,250
Audio3,649,489,679,555,388,594,492,574,527,552,589,477,583,439,416,503
Audio4,743,666,906,677,565,733,681,718,780,652,839,647,755,565,638,648
Audio5,1018,991,1055,858,718,931,829,917,925,923,1063,887,881,789,790,971
Audio6,1264,1295,1347,979,865,1054,1058,1098,1048,1224,1343,1214,1054,1090,1090,1221
Audio7,1491,1468,1517,1127,989,1180,1316,1190,1263,1550,1535,1333,1258,1238,1392,1469
Audio8,1691,1624,1843,1323,1293,1335,1562,1309,1431,1643,1784,1484,1404,1452,1682,1605
AudioLength,1809,1840,1924,1536,1582,1574,1777,1436,1745,1860,1899,1665,1566,1668,1873,1694
