Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,76,74,74,74,80,80,76,74,74,79,74,80,74,73,73,73
Audio2,322,417,361,207,394,342,168,233,410,339,309,236,252,371,398,299
Audio3,496,711,470,395,608,572,442,340,738,429,606,543,474,652,710,504
Audio4,605,1044,807,721,929,859,666,543,839,605,920,648,705,932,995,763
Audio5,895,1334,1142,957,1162,1072,825,759,1036,910,1070,851,828,1139,1300,1037
Audio6,1103,1450,1393,1169,1339,1309,1016,882,1319,1163,1330,1118,1124,1322,1413,1273
Audio7,1384,1681,1579,1397,1493,1456,1254,1158,1498,1345,1502,1374,1348,1537,1615,1363
Audio8,1523,1980,1792,1562,1651,1714,1471,1291,1779,1568,1839,1532,1511,1695,1847,1685
AudioLength,1642,2169,2032,1853,1930,1821,1615,1418,2042,1730,1923,1719,1757,1833,2170,1808
