Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,76,76,77,75,73,73,76,76,75,76,74,77,76,76,78,76
Audio2,296,226,287,275,151,199,374,251,191,277,289,215,272,170,402,173
Audio3,445,370,460,422,452,297,539,404,310,500,464,490,513,491,574,371
Audio4,619,643,713,599,680,614,753,729,612,715,686,710,763,717,837,636
Audio5,892,756,991,826,984,759,999,977,814,834,1012,851,952,1034,938,777
Audio6,1042,1004,1193,1024,1077,950,1097,1175,890,1111,1241,1048,1066,1240,1159,975
Audio7,1359,1226,1290,1305,1394,1180,1345,1269,999,1275,1362,1160,1268,1410,1337,1218
Audio8,1604,1502,1527,1452,1590,1521,1496,1537,1139,1420,1486,1437,1368,1560,1626,1498
AudioLength,1766,1771,1637,1709,1821,1729,1764,1746,1424,1636,1668,1616,1648,1799,1783,1658
