Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,79,74,75,73,75,73,74,77,72,73,79,69,73,73,73,73
Audio2,332,200,256,396,404,169,179,180,217,314,212,159,209,317,224,358
Audio3,466,302,563,550,609,478,427,403,446,566,491,358,397,606,497,588
Audio4,671,458,794,735,809,709,603,566,701,729,779,631,673,847,722,854
Audio5,815,741,950,945,959,783,886,830,891,1034,1096,837,800,1180,976,976
Audio6,1006,958,1209,1247,1063,865,1077,1131,1090,1223,1212,1047,1079,1332,1234,1180
Audio7,1232,1133,1482,1527,1201,986,1280,1441,1342,1342,1350,1153,1378,1574,1326,1420
Audio8,1358,1264,1707,1700,1293,1203,1361,1641,1633,1567,1478,1324,1531,1733,1613,1719
AudioLength,1481,1586,1982,1966,1470,1324,1471,1732,1736,1787,1723,1604,1634,1902,1834,2018
