Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,76,76,73,76,75,73,75,73,73,74,74,80,80,80,75,69
Audio2,296,374,445,240,409,291,356,302,395,201,259,207,339,288,380,361
Audio3,445,474,720,504,519,418,703,438,497,446,419,316,466,578,581,457
Audio4,673,706,1027,682,645,535,868,633,601,620,691,689,769,841,860,614
Audio5,1046,960,1165,990,749,725,1087,899,760,869,826,918,1025,1146,1084,875
Audio6,1259,1202,1397,1159,911,847,1290,1081,860,1058,953,1096,1152,1276,1289,1002
Audio7,1464,1440,1509,1286,1079,1080,1490,1250,1168,1363,1152,1324,1328,1452,1475,1101
Audio8,1781,1659,1731,1435,1331,1320,1773,1475,1446,1673,1456,1603,1618,1603,1780,1277
AudioLength,1900,1900,1977,1593,1541,1490,2105,1593,1614,1975,1690,1771,1924,1847,2027,1639
