Row,Sequence1,Sequence2,Sequence3,Sequence4,Sequence5,Sequence6,Sequence7,Sequence8,Sequence9,Sequence10,Sequence11,Sequence12,Sequence13,Sequence14,Sequence15,Sequence16
Audio1,80,73,80,73,73,73,73,80,74,76,73,74,80,74,76,79
Audio2,284,367,374,287,192,304,184,348,242,251,282,363,272,197,277,263
Audio3,430,661,621,431,364,499,477,586,454,378,554,472,421,432,455,595
Audio4,647,840,867,685,695,706,759,738,698,553,849,682,601,676,701,789
Audio5,788,1148,1123,839,853,797,965,1082,785,847,1110,859,880,888,904,1021
Audio6,893,1439,1286,1000,1150,959,1106,1183,1039,1011,1283,1017,1212,1078,1189,1262
Audio7,1115,1557,1440,1220,1364,1125,1378,1272,1345,1241,1486,1291,1450,1310,1478,1567
Audio8,1251,1870,1525,1518,1529,1392,1635,1571,1559,1377,1746,1417,1630,1428,1746,1758
AudioLength,1422,2078,1758,1827,1802,1674,1745,1802,1778,1471,2009,1522,1855,1702,1906,1983
