isLeftKeyPress,keyPressTime
0,10.2124964
0,10.7153049
1,4.4663893
0,2.6373083
0,6.2959768
1,4.923308
1,10.8149725
1,9.7990262
1,18.5552837
1,8.5276582
0,7.5137328
1,2.1794772
1,14.266879
0,7.7675824
0,8.0709272
0,7.3591456
1,5.6830079
1,8.4769516
1,12.5421133
1,11.3739894
0,6.3463736
1,7.8161832
0,15.5068251
1,7.5640065
0,5.7353378
1,3.1445685
0,15.5593927
1,9.2399967
1,12.8946758
1,3.9061436
1,1.9765722
1,3.2468126
1,15.0948924
1,10.4592587
0,10.6611599
1,8.1711666
1,2.5868176
1,15.3497545
1,2.738743
0,14.3712468
0,8.8838906
0,3.9077037
0,14.3694946
1,15.807941
1,8.2748717
1,14.6722867
0,7.5644465
1,3.2969677
0,9.3427051
0,8.0209954
0,4.6189001
0,9.9995854
0,3.093197
1,8.5819668
1,5.7860304
0,2.5854386
1,3.8053896
0,1.6714486
0,1.6208006
1,4.9222107
0,2.1288857
1,8.1717306
0,6.8016492
1,9.3414938
0,3.8048298
1,2.1290784
0,7.308244
0,2.5349216
0,10.1015856
0,8.1727989
1,2.585834
0,15.044512
0,5.5827835
1,9.4425883
1,4.1613703
0,9.3915661
0,2.0785704
0,1.9263287
1,2.585568
0,6.0904005
1,1.5698806
1,2.4845251
0,1.6209732
0,4.4643118
1,3.8557879
1,4.0079851
0,10.9694066
0,3.1950087
1,7.6148232
1,1.5701059
1,9.4420299
1,1.4691767
0,8.4256339
0,5.0748845
0,2.9923973
1,8.7318827
1,14.0627742
1,13.299856
0,7.7153318
1,2.0271869
1,2.433997
0,3.7562796
1,2.2308598
1,16.0005603
0,1.6204005
0,1.9762551
0,13.6067439
1,12.440671
1,14.571348
0,9.3416744
1,16.5717798
1,13.0512905
1,9.5428616
0,2.1797198
1,16.2087228
1,6.444476
0,3.3477848
1,3.5013109
0,1.9255905
1,14.2164625
1,3.1435275
0,10.1031349
0,6.2434057
1,1.6720556
0,3.7027277
1,1.9755812
1,3.042387
0,2.7891036
0,16.524717
1,5.2786403
0,14.7248855
0,9.088687
1,2.9915595
1,1.8240779
0,4.0077984
0,8.9340119
