isLeftKeyPress,keyPressTime
0,1.5201659
0,8.530697
1,6.498635
0,2.7395199
0,4.1122693
0,5.9904284
1,3.2478193
1,4.1127981
1,5.2277757
1,7.6167981
0,4.4666105
1,7.0076204
1,6.5494077
1,7.4632429
1,5.6852751
1,5.8425126
0,5.8889992
1,6.3464387
0,2.9928779
0,3.1464993
0,7.4646811
1,2.1802375
0,6.8029137
0,10.2114466
0,4.7715642
1,7.108159
0,10.004581
0,4.6188915
1,6.295215
1,6.8543161
1,8.3279118
1,2.8927458
0,5.9907636
1,10.1060435
0,4.1619456
1,6.8056227
0,8.9897229
0,5.025429
1,4.8757748
1,10.1050543
0,6.8553032
1,8.7335647
0,5.6350125
0,4.4673317
0,5.0254623
1,9.0405088
0,7.9718388
1,3.552581
1,5.7367102
1,6.5491254
0,3.7038413
0,6.4991386
0,3.6028382
1,6.5499338
1,5.4311173
0,6.8032121
0,6.4980993
0,8.3290128
0,2.3833086
1,7.1592072
0,2.6882162
1,7.9204327
1,4.8226355
1,5.0252058
0,6.245201
0,7.7213244
1,9.2422734
1,6.3462747
0,8.1745705
0,8.4799175
1,5.6874748
0,7.5166484
0,6.2966324
0,6.702485
1,10.3588241
1,8.1235935
0,6.8541293
0,8.6840833
1,5.5832959
0,6.0910386
1,11.1207725
1,8.7835566
0,5.9920655
0,5.2819219
1,5.9908994
1,10.5638947
1,6.8050098
1,5.8896444
0,3.5522484
0,7.5160507
1,7.3618987
1,4.8223465
0,4.9243549
1,9.5449344
0,7.3621388
1,8.7851156
0,5.4308568
1,6.1432227
1,5.9397472
1,5.7873581
1,6.2951247
1,6.8031664
1,4.3653856
0,8.0224976
1,7.362521
1,5.7380031
1,2.3839774
0,4.1609091
0,10.414094
0,5.4849542
1,4.7211328
1,5.6352074
0,7.2597139
1,10.1082292
0,7.9214137
1,5.839818
1,8.9372073
1,6.1431722
0,9.1394498
1,6.8058549
0,4.1156272
1,6.8103447
1,3.6578252
1,2.6411688
0,6.607589
1,6.9623423
1,2.0784134
0,3.8071737
0,3.7559762
1,3.7554583
1,3.90769
0,4.5170046
1,7.9718277
0,4.5167719
1,8.3773869
1,19.3610707
