,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,2.3098125,2.3530625,2.3269583333333332,1.726958333333333,2.9269583333333333,2.300833333333333,1.5098125,1.7791875
Audio3 Onset,3.7106458333333334,3.7016458333333326,4.127791666666666,2.8061458333333333,5.406145833333333,4.197166666666666,2.606145833333333,3.3800208333333335
Audio4 Onset,5.259229166666666,5.980833333333333,5.076374999999999,4.059208333333333,6.806979166666666,5.250229166666666,4.859208333333333,5.833083333333334
Audio5 Onset,6.512291666666667,7.6077916666666665,6.329437499999999,5.512270833333333,8.016791666666666,6.329416666666667,5.660041666666666,7.460041666666666
Audio6 Onset,8.060875,9.217604166666666,7.878020833333332,6.660854166666667,9.269854166666667,7.42575,7.956375,8.956375
Audio7 Onset,9.687833333333334,11.6184375,9.157208333333331,9.0094375,10.5661875,8.652708333333333,10.0355625,10.2094375
Audio8 Onset,11.967020833333333,13.767020833333333,11.410270833333334,10.410270833333334,12.41925,10.262520833333333,11.688625,12.01925
Audio Length,14.220083333333333,15.420083333333332,12.620083333333334,11.620083333333334,13.515583333333334,11.915583333333334,13.515583333333334,13.715583333333333
