,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,1.396333333333333,1.7098125,2.7530625,1.300833333333333,2.51879166666667,1.326958333333333,2.744083333333333,1.944083333333333
Audio3 Onset,2.666541666666666,2.789,4.762875,3.580020833333333,4.762875000000004,3.127791666666666,4.5449166666666665,3.8232708333333334
Audio4 Onset,4.667374999999999,4.815958333333333,7.1898333333333335,5.537583333333333,6.720437500000004,4.980854166666666,5.476354166666667,4.624104166666666
Audio5 Onset,7.207791666666665,6.756375,9.347395833333334,7.938416666666667,8.816770833333337,7.399645833333336,6.4771875,6.477166666666666
Audio6 Onset,9.565354166666665,7.9139375,11.148229166666667,9.408625,10.84372916666667,9.643729166666668,8.573520833333333,8.008604166666666
Audio7 Onset,10.922916666666667,9.358020833333333,13.1923125,11.1661875,12.722916666666672,12.122916666666669,10.252708333333333,9.227395833333336
Audio8 Onset,12.732729166666667,10.515583333333334,15.4715,13.393145833333334,13.923750000000005,14.202104166666668,12.531895833333333,10.82822916666667
Audio Length,13.5596875,11.185791666666667,18.211916666666667,14.489479166666667,15.802937500000004,16.15966666666667,13.950687500000003,11.907416666666672
