,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,3.1881666666666666,1.9881666666666669,1.4575625,2.2575625,1.3791875,2.8747083333333334,1.926958333333333,2.5791875
Audio3 Onset,5.545729166666667,3.685312499999997,3.789,4.458395833333333,3.1538958333333333,4.8494166666666665,3.701666666666666,4.953895833333333
Audio4 Onset,7.755541666666667,5.260020833333329,6.68614583333333,6.859229166666666,5.528604166666667,6.25025,6.198812499999996,6.3808541666666665
Audio5 Onset,10.086979166666667,6.539208333333329,7.460854166666663,9.156374999999997,6.9033125,8.051083333333333,7.99964583333333,8.7816875
Audio6 Onset,11.4616875,8.87064583333333,9.940041666666662,10.444541666666662,8.304145833333333,9.330270833333334,9.600479166666663,10.67883333333333
Audio7 Onset,13.340875,11.271479166666662,10.740874999999996,11.523729166666664,10.678854166666667,10.557229166666668,11.375187499999996,12.879666666666662
Audio8 Onset,15.63802083333333,12.072312499999995,12.950687499999995,12.655166666666664,13.575999999999997,12.5319375,13.054374999999995,14.454374999999995
Audio Length,17.238854166666663,13.882124999999995,15.151520833333329,13.664979166666665,15.576833333333331,14.62908333333333,13.829083333333328,15.829083333333328
