,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,1.3530625,2.2836875,1.317979166666667,2.222458333333333,1.8053125,2.222458333333333,1.7530625,1.822458333333333
Audio3 Onset,2.553895833333333,3.53675,2.623291666666667,4.5449166666666665,3.058375,3.544916666666666,3.8755208333333333,3.675520833333333
Audio4 Onset,3.971875,4.4943125,4.0763541666666665,5.928604166666666,4.980833333333333,5.841249999999999,5.371854166666667,4.597979166666667
Audio5 Onset,5.8771875,6.295145833333334,5.729416666666666,7.9816666666666665,7.233895833333333,6.642083333333332,6.0943125,6.651041666666667
Audio6 Onset,7.33025,8.391479166666667,7.33025,9.339229166666666,8.556354166666667,8.295145833333333,7.016770833333333,7.956354166666666
Audio7 Onset,9.6878125,9.7139375,9.7139375,11.3400625,10.6526875,9.617604166666666,9.122083333333334,10.3571875
Audio8 Onset,11.610270833333333,10.567,11.236395833333333,13.158041666666668,12.758,11.322916666666666,10.827395833333334,11.453520833333334
Audio Length,13.906604166666666,11.689458333333333,13.793958333333334,14.011104166666666,13.480458333333333,13.375979166666667,11.880458333333333,13.558833333333334
