,Sequence1 Audio Onsets,Sequence2 Audio Onsets,Sequence3 Audio Onset,Sequence4 Audio Onsets,Sequence5 Audio Onsets,Sequence6 Audio Onsets,Sequence7 Audio Onset,Sequence8 Audio Onsets
Audio1 Onset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Audio2 Onset,2.5791875,2.7791875,2.8747083333333334,2.5791875,2.7359375,1.822458333333333,2.448583333333333,2.726958333333333
Audio3 Onset,4.762875,4.415125,5.127770833333333,3.762875,4.484520833333333,3.171041666666666,3.3710416666666663,3.527791666666666
Audio4 Onset,7.0943125,6.3465625,7.363708333333333,5.737583333333333,6.406979166666665,5.171874999999999,4.797999999999999,4.963729166666666
Audio5 Onset,8.399625,8.399625,8.347395833333334,6.669020833333334,7.607812499999999,6.998833333333332,6.5294374999999985,6.0861874999999985
Audio6 Onset,10.4526875,9.3833125,9.226583333333334,7.904958333333333,9.634770833333333,9.173541666666665,7.704145833333332,7.608645833333332
Audio7 Onset,12.488625,10.488625,10.131895833333333,9.810270833333334,12.009479166666667,10.704979166666666,9.426604166666666,8.383354166666665
Audio8 Onset,13.863333333333333,12.063333333333333,12.463333333333333,11.063333333333333,14.340916666666667,11.627437499999997,11.0274375,9.914791666666666
Audio Length,14.716395833333333,13.716395833333333,14.916395833333333,12.916395833333333,15.063375,12.663374999999997,12.263375,10.663374999999998
