isLeftKeyPress,keyPressTime
0,6.7488778
1,5.8410564
1,3.5342355
1,2.5077249
0,3.2258177
1,3.1734836
0,4.1902989
1,6.545221
0,3.3265449
1,7.2653497
0,2.0451468
1,3.8877295
1,3.5298656
0,3.4277956
1,3.9383738
1,5.686752
0,5.1678072
0,7.6422971
0,5.4335721
1,3.0171226
0,12.4444018
1,7.7857437
1,10.0252177
0,3.8906144
1,3.0032372
1,17.699182
1,3.7402995
1,6.0942237
0,1.736806
0,7.6356984
0,11.3847106
1,6.095175
0,13.6282093
0,5.2742507
1,13.1030869
1,12.1895664
1,7.0745787
0,3.4281957
0,5.377293
1,13.1500872
0,12.3944197
0,5.2283966
0,8.5116191
0,8.7614064
0,1.5871711
0,3.4778026
1,12.242508
1,5.4295196
0,6.7624156
0,13.5654391
0,6.0960905
1,5.3710035
1,4.2460044
0,14.0240849
0,15.3919194
0,5.7366012
0,4.4463453
0,8.60099
1,4.2015048
0,9.1194859
0,5.170332
1,7.6811235
0,6.0397587
0,8.747287
1,8.9585626
1,8.2416918
0,8.4424879
1,10.8426962
0,8.6047376
0,5.3722133
0,4.6652797
1,9.0709455
0,6.7548016
0,5.5769653
1,11.8329408
0,7.349955
1,5.6587602
0,13.106864
1,5.4735497
0,4.3001828
0,3.4293856
1,4.098669
0,4.096989
1,6.5575501
0,8.0393529
0,1.8425756
0,4.5558691
1,6.4487639
1,8.9641112
0,9.0145424
0,4.4507116
0,10.4039594
0,12.0425165
0,4.3073787
1,3.8903811
1,2.2027976
1,16.4010663
1,10.7605366
0,4.2514651
0,11.465522
0,5.6314398
1,2.6586961
1,5.6314662
0,4.8679044
1,5.2080745
1,14.1437735
1,5.0689942
0,4.4589766
1,4.3057314
1,9.636658
1,2.3010268
1,5.7245887
1,13.3291032
0,9.1724735
1,8.0500789
1,15.5287764
0,9.2714086
0,6.0411514
1,3.0215853
0,3.9906712
1,9.0804114
0,6.1476752
1,6.7093365
1,4.400905
1,3.4328937
0,3.4846721
0,2.5581308
1,4.7598754
1,6.0910944
1,10.0243937
0,3.1186354
0,14.45138
1,5.4280172
1,4.6074112
0,9.8212915
1,6.6645668
1,4.0437234
1,10.3538209
0,13.9251085
0,10.5890439
1,7.6301384
0,3.6380181
1,4.8130626
0,3.5344163
0,1.4311001
0,3.7832038
0,1.4831501
0,1.8439526
0,1.6843244
1,3.3825358
0,1.9403016
1,4.3971224
0,4.1501495
1,4.0463846
0,2.0477549
1,2.6141275
1,1.484282
1,9.5689115
1,1.8934764
0,4.4039898
1,7.6795622
1,7.0704269
1,3.1194876
1,2.8665449
1,4.1523095
1,5.0721691
0,3.4839508
1,9.9217848
1,6.4480346
1,6.4506875
1,2.5095564
1,2.8651761
0,2.2002919
1,5.5793931
0,9.3222937
0,6.0899571
0,6.9110645
1,6.819083
1,5.2199816
0,4.6566181
0,2.4583187
1,2.8526491
1,3.7393828
1,9.3667864
0,4.0936495
1,6.8074847
0,14.5528339
1,2.9201141
1,7.9995258
1,16.920858
1,2.3004049
0,6.5555396
1,2.251219
1,7.6867403
1,3.3300552
1,2.1518482
0,8.0352615
0,3.1233629
1,5.943852
1,6.6576578
1,2.661195
1,2.4028561
1,8.4514387
0,7.3779326
1,8.5106921
0,6.2472751
0,5.2810567
0,5.7868716
0,3.160768
0,5.1180746
1,5.5303729
1,8.35127
1,4.7149718
0,6.3463828
1,10.6912456
0,10.8201577
0,1.638805
0,13.1742579
0,3.0671423
1,11.1623571
1,8.3517197
0,8.811721
0,4.303986
1,6.2372503
1,3.4801904
1,2.9192346
1,7.5798148
0,8.7138101
1,8.2433772
1,12.1861495
1,3.3768656
1,12.6029735
0,15.5140118
0,3.2767004
0,4.3027125
1,3.2704424
0,1.8938686
0,4.7659074
0,12.248266
1,5.5363522
1,2.9737223
0,11.1581616
1,3.3801529
0,4.5086456
0,11.6466884
1,4.9703539
1,10.488575
1,2.6580879
1,11.9430621
1,5.119335
1,2.455445
1,2.5583191
1,7.8319786
0,2.2009181
1,10.3459066
0,6.3992758
0,2.7144482
0,7.8444518
0,8.8555251
0,4.0958417
1,5.3783076
0,4.7121215
1,1.6883377
1,7.7240345
0,6.904741
1,7.0200992
0,5.6840655
1,2.3052988
0,8.7142315
0,6.3968739
0,10.0881907
1,12.6632001
